Seconds,Time,R-R
32371.061,8:56:59 AM,0.953
32372.117,8:57:00 AM,1.056
32373.223,8:57:01 AM,1.106
32374.333,8:57:02 AM,1.11
32375.444,8:57:03 AM,1.111
32376.587,8:57:05 AM,1.143
32377.633,8:57:06 AM,1.046
32378.619,8:57:07 AM,0.986
32379.558,8:57:08 AM,0.939
32380.47,8:57:08 AM,0.912
32381.415,8:57:09 AM,0.945
32382.37,8:57:10 AM,0.955
32383.339,8:57:11 AM,0.969
32384.296,8:57:12 AM,0.957
32385.262,8:57:13 AM,0.966
32386.239,8:57:14 AM,0.977
32387.246,8:57:15 AM,1.007
32388.285,8:57:16 AM,1.039
32389.284,8:57:17 AM,0.999
32390.308,8:57:18 AM,1.024
32391.323,8:57:19 AM,1.015
32392.331,8:57:20 AM,1.008
32393.29,8:57:21 AM,0.959
32394.277,8:57:22 AM,0.987
32395.24,8:57:23 AM,0.963
32396.162,8:57:24 AM,0.922
32397.139,8:57:25 AM,0.977
32398.174,8:57:26 AM,1.035
32399.143,8:57:27 AM,0.969
32400.117,8:57:28 AM,0.974
32401.087,8:57:29 AM,0.97
32402.084,8:57:30 AM,0.997
32403.097,8:57:31 AM,1.013
32404.169,8:57:32 AM,1.072
32405.272,8:57:33 AM,1.103
32406.372,8:57:34 AM,1.1
32407.531,8:57:36 AM,1.159
32408.653,8:57:37 AM,1.122
32409.613,8:57:38 AM,0.96
32410.563,8:57:39 AM,0.95
32411.503,8:57:40 AM,0.94
32412.42,8:57:40 AM,0.917
32413.381,8:57:41 AM,0.961
32414.336,8:57:42 AM,0.955
32415.348,8:57:43 AM,1.012
32416.502,8:57:45 AM,1.154
32417.633,8:57:46 AM,1.131
32418.725,8:57:47 AM,1.092
32419.813,8:57:48 AM,1.088
32420.823,8:57:49 AM,1.01
32421.781,8:57:50 AM,0.958
32422.736,8:57:51 AM,0.955
32423.656,8:57:52 AM,0.92
32424.621,8:57:53 AM,0.965
32425.58,8:57:54 AM,0.959
32426.537,8:57:55 AM,0.957
32427.532,8:57:56 AM,0.995
32428.56,8:57:57 AM,1.028
32429.622,8:57:58 AM,1.062
32430.62,8:57:59 AM,0.998
32431.64,8:58:00 AM,1.02
32432.717,8:58:01 AM,1.077
32433.758,8:58:02 AM,1.041
32434.739,8:58:03 AM,0.981
32435.699,8:58:04 AM,0.96
32436.658,8:58:05 AM,0.959
32437.552,8:58:06 AM,0.894
32438.485,8:58:07 AM,0.933
32439.436,8:58:07 AM,0.951
32440.354,8:58:08 AM,0.918
32441.301,8:58:09 AM,0.947
32442.306,8:58:10 AM,1.005
32443.31,8:58:11 AM,1.004
32444.349,8:58:12 AM,1.039
32445.405,8:58:13 AM,1.056
32446.427,8:58:14 AM,1.022
32447.385,8:58:15 AM,0.958
32448.312,8:58:16 AM,0.927
32449.194,8:58:17 AM,0.882
32450.111,8:58:18 AM,0.917
32451.033,8:58:19 AM,0.922
32451.938,8:58:20 AM,0.905
32452.895,8:58:21 AM,0.957
32453.919,8:58:22 AM,1.024
32454.955,8:58:23 AM,1.036
32456.101,8:58:24 AM,1.146
32457.165,8:58:25 AM,1.064
32458.166,8:58:26 AM,1.001
32459.122,8:58:27 AM,0.956
32460.042,8:58:28 AM,0.92
32460.93,8:58:29 AM,0.888
32461.801,8:58:30 AM,0.871
32462.719,8:58:31 AM,0.918
32463.709,8:58:32 AM,0.99
32464.64,8:58:33 AM,0.931
32465.718,8:58:34 AM,1.078
32466.78,8:58:35 AM,1.062
32467.793,8:58:36 AM,1.013
32468.777,8:58:37 AM,0.984
32469.727,8:58:38 AM,0.95
32470.611,8:58:39 AM,0.884
32471.544,8:58:40 AM,0.933
32472.523,8:58:41 AM,0.979
32473.48,8:58:41 AM,0.957
32474.404,8:58:42 AM,0.924
32475.29,8:58:43 AM,0.886
32476.157,8:58:44 AM,0.867
32477.04,8:58:45 AM,0.883
32477.938,8:58:46 AM,0.898
32478.813,8:58:47 AM,0.875
32479.728,8:58:48 AM,0.915
32480.682,8:58:49 AM,0.954
32481.682,8:58:50 AM,1
32482.653,8:58:51 AM,0.971
32483.605,8:58:52 AM,0.952
32484.539,8:58:53 AM,0.934
32485.435,8:58:53 AM,0.896
32486.345,8:58:54 AM,0.91
32487.265,8:58:55 AM,0.92
32488.198,8:58:56 AM,0.933
